"","Time","Susceptible","Exposed","Infected","Removed","Event"
"18583",7.90041309179029,2583,583,2603,4331,3
"18584",7.90045760234009,2583,583,2602,4332,3
"18585",7.90047115223443,2582,584,2602,4332,1
"18586",7.90173717233644,2582,583,2603,4332,2
"18587",7.90188607250279,2581,584,2603,4332,1
"18588",7.90244404199607,2581,583,2604,4332,2
"18589",7.90260826578417,2580,584,2604,4332,1
"18590",7.90272904199452,2579,585,2604,4332,1
"18591",7.90335249238789,2579,585,2603,4333,3
"18592",7.90378354139791,2578,586,2603,4333,1
"18593",7.9041620087388,2578,585,2604,4333,2
"18594",7.90422713482297,2578,585,2603,4334,3
"18595",7.90445394685551,2578,585,2602,4335,3
"18596",7.90447053574623,2577,586,2602,4335,1
"18597",7.90459389671742,2577,585,2603,4335,2
"18598",7.90499723566308,2577,584,2604,4335,2
"18599",7.90522746110311,2577,583,2605,4335,2
"18600",7.90537726529935,2576,584,2605,4335,1
"18601",7.90555160824336,2575,585,2605,4335,1
"18602",7.90566107182705,2575,584,2606,4335,2
"18603",7.90588539479865,2575,583,2607,4335,2
"18604",7.9059348188444,2574,584,2607,4335,1
"18605",7.90598279237996,2574,584,2606,4336,3
"18606",7.9061125922629,2573,585,2606,4336,1
"18607",7.90637986220666,2573,584,2607,4336,2
"18608",7.90639507422097,2573,583,2608,4336,2
"18609",7.906951632552,2573,583,2607,4337,3
"18610",7.90696561797833,2573,583,2606,4338,3
"18611",7.90720066688623,2573,582,2607,4338,2
"18612",7.90740626479639,2573,582,2606,4339,3
"18613",7.90740967708005,2573,581,2607,4339,2
"18614",7.90751188424238,2572,582,2607,4339,1
"18615",7.90762874349655,2572,582,2606,4340,3
"18616",7.90805257199286,2572,582,2605,4341,3
"18617",7.90846535964108,2572,581,2606,4341,2
"18618",7.90869164270759,2571,582,2606,4341,1
"18619",7.90920669184758,2571,581,2607,4341,2
"18620",7.90987962324038,2570,582,2607,4341,1
"18621",7.91005479429388,2570,582,2606,4342,3
"18622",7.91035198635777,2570,581,2607,4342,2
"18623",7.91061582775537,2570,581,2606,4343,3
"18624",7.91062130340268,2570,580,2607,4343,2
"18625",7.91105464606927,2570,580,2606,4344,3
"18626",7.91131748461127,2570,580,2605,4345,3
"18627",7.91155672368686,2570,579,2606,4345,2
"18628",7.91162494305171,2570,579,2605,4346,3
"18629",7.91198384053651,2570,578,2606,4346,2
"18630",7.91216237410248,2569,579,2606,4346,1
"18631",7.91216723083452,2569,578,2607,4346,2
"18632",7.91223556955364,2568,579,2607,4346,1
"18633",7.91224323005283,2567,580,2607,4346,1
"18634",7.91247374867869,2566,581,2607,4346,1
"18635",7.91272223935604,2566,581,2606,4347,3
"18636",7.91272951993326,2566,581,2605,4348,3
"18637",7.91284306713983,2566,580,2606,4348,2
"18638",7.91285207521666,2566,579,2607,4348,2
"18639",7.9128582765407,2566,579,2606,4349,3
"18640",7.91314345233991,2566,578,2607,4349,2
"18641",7.91343512899559,2566,578,2606,4350,3
"18642",7.91353210346512,2565,579,2606,4350,1
"18643",7.91356215554508,2565,578,2607,4350,2
"18644",7.9141334987602,2565,577,2608,4350,2
"18645",7.91420422240743,2565,577,2607,4351,3
"18646",7.91435157465226,2565,577,2606,4352,3
"18647",7.91487216920287,2564,578,2606,4352,1
"18648",7.91492100383997,2563,579,2606,4352,1
"18649",7.91517114483498,2563,578,2607,4352,2
"18650",7.91544482105737,2563,578,2606,4353,3
"18651",7.91548516867003,2562,579,2606,4353,1
"18652",7.91569698593673,2561,580,2606,4353,1
"18653",7.91659504906406,2560,581,2606,4353,1
"18654",7.91734413499737,2560,580,2607,4353,2
"18655",7.91739759203212,2560,579,2608,4353,2
"18656",7.917859250065,2559,580,2608,4353,1
"18657",7.91791136068491,2559,579,2609,4353,2
"18658",7.91808119486782,2559,579,2608,4354,3
"18659",7.9181112209677,2559,578,2609,4354,2
